feature,importance
expected_kwh,1806.6921855172598
lag_1m,1036.5769609824963
lag_12m,231.94651411481712
roll_avg_3m,84.37695999521834
month_cos,76.92695991066248
roll_avg_12m,31.427750053297714
expected_roll_3m,28.710416099252424
lag_6m,22.615527267010965
lag_3m,22.046358261194356
expected_roll_12m,20.648337253082225
roll_avg_6m,19.16812795078664
expected_roll_6m,16.110461049984604
month,14.811238243217858
month_sin,11.944579750844033
year,10.612081853248903
is_winter,10.492871984400669
is_spring,7.795152837768598
is_summer,5.652834838057209
avg_impact,3.4358937333857353
quarter,3.399890015697929
string_fault_count,2.373289746281337
has_critical_alert,2.1009149927896673
total_historical_alerts,1.7211856701698407
is_autumn,1.2344960898026864
inverter_fault_count,0.31454305420712003
grid_fault_count,0.0
